graph,alpha_log2,eps_log2,alpha,eps,n,edges,status,triv,lvl0_over_eps,W_push,W_WY,W_target,E_expansions,tightenings,winner,ratio_to_target,err_push_over_eps,err_wy_over_eps,push_maxrd_over_eps,const_push,const_wy,wy_S,wy_volS,wy_nnzlu,wy_C_adj,wy_R_adj,wy_C_rec,wy_C_resp,push_C_adj,push_R_adj,n_push,wall_push,wall_wy
btree,-6,-8,0.015625,0.00390625,511,510,ok,0,7.1813427628555235,1234,228,2048.0,4,1,WY,0.111328125,0.42963613112646737,0.7837733934683992,0.9994592554779337,0.0753173828125,0.00347900390625,7,20,26,20,26,38,144,188,1046,419,0.0,0.001
btree,-6,-9,0.015625,0.001953125,1023,1022,ok,0,14.269976658234528,2998,560,4096.0,5,1,WY,0.13671875,0.40571629073602544,0.71988978667264,0.822286551338574,0.09149169921875,0.00213623046875,15,44,58,44,56,94,366,380,2618,1010,0.0,0.002
btree,-6,-10,0.015625,0.0009765625,2047,2046,ok,0,28.461715081808656,5470,1246,8192.0,6,1,WY,0.152099609375,0.4492322265877924,0.6614366926043889,0.9921248637348521,0.083465576171875,0.0011882781982421875,31,92,122,92,116,210,828,380,5090,1836,0.0,0.002
btree,-6,-11,0.015625,0.00048828125,4095,4094,ok,0,56.857372146548244,10814,3146,16384.0,8,2,WY,0.1920166015625,0.47179471710386167,0.6078165237529617,0.9847642148802517,0.0825042724609375,0.0007500648498535156,63,188,250,188,284,538,2136,764,10050,3620,0.0,0.003
btree,-6,-12,0.015625,0.000244140625,8191,8190,ok,0,113.65895894781268,22994,5956,32768.0,9,2,WY,0.1817626953125,0.4762422953393042,0.5585767771647229,0.9711826751663409,0.08771514892578125,0.00035500526428222656,127,380,506,380,524,1014,4038,1532,21462,7683,0.0,0.005
btree,-6,-13,0.015625,0.0001220703125,16383,16382,ok,0,227.27080368526472,44106,12126,65536.0,10,2,WY,0.185028076171875,0.5076674661023901,0.5133390394030124,0.9978595546162193,0.08412551879882812,0.00018069148063659668,255,764,1018,764,1052,2066,8244,3068,41038,14723,0.0,0.008
btree,-7,-3,0.0078125,0.125,15,14,ok,1,0.3556944934942297,4,12,90.50966799187808,1,0,push,0.04419417382415922,0.3089415638067297,0.298303855596501,0.9896036783854166,0.00390625,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-7,-4,0.0078125,0.0625,31,30,ok,1,0.4408292445383225,36,12,181.01933598375615,1,0,WY,0.06629126073623884,0.2860927123668817,0.3217871853971937,0.8361468927500261,0.017578125,0.046875,1,2,2,2,2,2,6,8,28,14,0.0,0.0
btree,-7,-5,0.0078125,0.03125,63,62,ok,1,0.6531777877068179,94,12,362.0386719675123,1,0,WY,0.03314563036811942,0.30231294929427555,0.4114955481431457,0.9721518627882233,0.02294921875,0.01171875,1,2,2,2,2,2,6,20,74,34,0.0,0.0
btree,-7,-6,0.0078125,0.015625,127,126,ok,0,1.1045592710521281,298,12,724.0773439350246,1,0,WY,0.01657281518405971,0.2990672869480703,0.6180168973679098,0.8337861449800673,0.036376953125,0.0029296875,1,2,2,2,2,2,6,44,254,104,0.0,0.0
btree,-7,-7,0.0078125,0.0078125,255,254,ok,0,2.027370109792433,694,82,1448.1546878700492,4,2,WY,0.05662378521220401,0.313927278610034,0.5882864867730628,0.9298437564267491,0.0423583984375,0.0050048828125,3,8,10,8,12,14,48,92,602,238,0.0,0.001
btree,-7,-8,0.0078125,0.00390625,511,510,ok,0,3.889607715659923,1558,238,2896.3093757400984,5,2,WY,0.08217354195429606,0.3374464106567965,0.56151613762034,0.9982286013636755,0.04754638671875,0.003631591796875,7,20,26,20,28,40,150,188,1370,528,0.0,0.002
btree,-7,-9,0.0078125,0.001953125,1023,1022,ok,0,7.628582947503632,3234,228,5792.618751480197,4,1,WY,0.03936043606214181,0.35921403996555146,0.9590994004243929,0.9563946650911426,0.049346923828125,0.0008697509765625,7,20,26,20,26,38,144,380,2854,1089,0.0,0.001
btree,-7,-10,0.0078125,0.0009765625,2047,2046,ok,0,15.119511446739367,7274,560,11585.237502960394,5,1,WY,0.04833737762017415,0.35623630921699423,0.9171123265599059,0.9404855340071788,0.0554962158203125,0.0005340576171875,15,44,58,44,56,94,366,764,6510,2439,0.0,0.002
btree,-7,-11,0.0078125,0.00048828125,4095,4094,ok,0,30.113124375626256,16150,1246,23170.475005920787,6,1,WY,0.05377533260244374,0.35922670948149715,0.8771906357259709,0.9125859038048137,0.06160736083984375,0.0002970695495605469,31,92,122,92,116,210,828,1532,14618,5401,0.0,0.003
btree,-7,-12,0.0078125,0.000244140625,8191,8190,ok,0,60.111058690832095,31802,2640,46340.950011841574,7,1,WY,0.05696905219520525,0.3917456393457499,0.8391061794114474,0.9734808342777278,0.060657501220703125,0.00015735626220703125,63,188,250,188,236,446,1770,3068,28734,10621,0.0,0.003
