family,vertices,alpha,epsilon,engine,stage1_work,stage1_pushes,envelope_volume,reference_support_volume,handoff_semantic_error,tail_iterations,stage2_work,total_work,semantic_error,screen_succeeded
cycle-96,96,0.04,0.1,priority-gs-positive-key-envelope,48,24,6,18,0.0444444444444444,2,12,60,0.06399999999999992,
cycle-96,96,0.04,0.1,priority-gs-positive-key-envelope-tuned,44,22,6,14,0.0444444444444444,3,18,62,0.05119999999999992,
cycle-96,96,0.16,0.05,appr-direct-ppr,18,9,10,10,0.018652771699519937,0,0,18,0.018652771699519937,
cycle-96,96,0.16,0.05,green-ball-screen-or-appr,22,0,22,192,nan,5,110,132,0.01555199999999999,True
cycle-96,96,0.16,0.05,priority-gs-direct-ppr,18,9,10,192,0.018652771699519937,0,0,18,0.018652771699519937,
cycle-96,96,0.16,0.05,appr-envelope,30,15,14,10,0.011682539091300959,5,70,100,0.01555199999999999,
cycle-96,96,0.16,0.05,gs-gap-envelope-oracle-stop,46,23,10,14,0.017826242493974367,5,50,96,0.015743440233236154,
cycle-96,96,0.16,0.05,priority-gs-positive-key-envelope,34,17,10,14,0.018650677879495356,5,50,84,0.015743440233236154,
cycle-96,96,0.16,0.05,priority-gs-positive-key-envelope-tuned,34,17,10,10,0.023291261368320958,6,60,94,0.015743440233236154,
cycle-96,96,0.16,0.1,appr-direct-ppr,8,4,6,6,0.036734693877551024,0,0,8,0.036734693877551024,
cycle-96,96,0.16,0.1,green-ball-screen-or-appr,18,0,18,192,nan,3,54,72,0.043199999999999995,True
cycle-96,96,0.16,0.1,priority-gs-direct-ppr,8,4,6,192,0.036734693877551024,0,0,8,0.036734693877551024,
cycle-96,96,0.16,0.1,appr-envelope,18,9,10,10,0.018652771699519937,3,30,48,0.043199999999999995,
cycle-96,96,0.16,0.1,gs-gap-envelope-oracle-stop,26,13,6,10,0.036734693877551024,3,18,44,0.043199999999999995,
cycle-96,96,0.16,0.1,priority-gs-positive-key-envelope,22,11,6,10,0.037066420153579194,3,18,40,0.043199999999999995,
cycle-96,96,0.16,0.1,priority-gs-positive-key-envelope-tuned,14,7,6,10,0.04487550455611758,4,24,38,0.036734693877551024,
star-96,96,0.01,0.05,appr-direct-ppr,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.05,green-ball-screen-or-appr,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,False
star-96,96,0.01,0.05,priority-gs-direct-ppr,0,0,0,190,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.05,appr-envelope,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
