family,vertices,alpha,epsilon,rho,certified,support_nodes,support_volume,sor_work,verifier_work,active_lane_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,direct_work,raced_total_work,ratio,checks,pushes
binary-depth-10,2047,0.04,0.005,0.005,True,31,92,128,424,552,152,704,504,2.0,61,613,504,2.0,0.0007572926442651828,252,504,2.0,7,45
binary-depth-10,2047,0.16,0.0001,0.0001,True,127,380,514,1498,2012,632,2644,1848,2.0,253,2265,1848,2.0,2.294112259852799e-05,924,1848,2.0,9,174
binary-depth-10,2047,0.16,0.0005,0.0005,True,63,188,513,998,1511,312,1823,772,2.0,125,1636,772,2.0,8.154950294898201e-05,386,772,2.0,9,174
binary-depth-10,2047,0.16,0.001,0.001,True,31,92,130,474,604,152,756,372,2.0,61,665,372,2.0,0.0002919656955915838,186,372,2.0,7,45
binary-depth-10,2047,0.16,0.002,0.002,True,15,44,33,180,213,72,285,368,2.0,29,242,368,2.0,0.0010464731615528833,184,368,2.0,5,12
binary-depth-10,2047,0.16,0.005,0.005,True,15,44,33,180,213,72,285,184,2.0,29,242,184,2.0,0.0010464731615528833,92,184,2.0,5,12
broom-512-511,1024,0.01,0.0001,0.0001,True,38,75,16385,810,17195,149,17344,12624,2.0,75,17270,12624,2.0,4.878578782793845e-05,6312,12624,2.0,14,8352
broom-512-511,1024,0.01,0.0005,0.0005,True,30,59,8192,613,8805,117,8922,6798,2.0,59,8864,6798,2.0,0.0002429375953513464,3399,6798,2.0,13,4203
broom-512-511,1024,0.01,0.001,0.001,True,26,51,4096,480,4576,101,4677,5316,2.0,51,4627,5316,2.0,0.0005421200020635672,2658,5316,2.0,12,2118
broom-512-511,1024,0.01,0.002,0.002,True,23,45,4096,460,4556,89,4645,3578,2.0,45,4601,3578,2.0,0.000989796601847199,1789,3578,2.0,12,2122
broom-512-511,1024,0.01,0.005,0.005,True,18,35,2048,347,2395,69,2464,2324,2.0,35,2430,2324,2.0,0.00269958394763829,1162,2324,2.0,11,1074
broom-512-511,1024,0.04,0.0001,0.0001,True,21,41,4096,395,4491,81,4572,1970,2.0,41,4532,1970,2.0,4.009715464289552e-05,985,1970,2.0,11,2112
broom-512-511,1024,0.04,0.0005,0.0005,True,17,33,2048,351,2399,65,2464,1262,2.0,33,2432,1262,2.0,0.00020299184537965863,631,1262,2.0,11,1066
broom-512-511,1024,0.04,0.001,0.001,True,15,29,1025,278,1303,57,1360,1014,2.0,29,1332,1014,2.0,0.0004567316521042321,507,1014,2.0,10,539
broom-512-511,1024,0.04,0.002,0.002,True,13,25,512,221,733,49,782,688,2.0,25,758,688,2.0,0.0010276462172345224,344,688,2.0,9,273
broom-512-511,1024,0.04,0.005,0.005,True,11,21,512,201,713,41,754,504,2.0,21,734,504,2.0,0.002312203988777676,252,504,2.0,9,274
broom-512-511,1024,0.16,0.0001,0.0001,True,11,21,256,172,428,41,469,296,2.0,21,449,296,2.0,3.583565551361181e-05,148,296,2.0,8,137
broom-512-511,1024,0.16,0.0005,0.0005,True,9,17,128,127,255,33,288,196,2.0,17,272,196,2.0,0.00019510523557410872,98,196,2.0,7,70
broom-512-511,1024,0.16,0.001,0.001,True,8,15,64,94,158,29,187,162,2.0,15,173,162,2.0,0.0004552455496729203,81,162,2.0,6,36
broom-512-511,1024,0.16,0.002,0.002,True,7,13,64,90,154,25,179,120,2.0,13,167,120,2.0,0.0010622396159034808,60,120,2.0,6,36
broom-512-511,1024,0.16,0.005,0.005,True,6,11,32,65,97,21,118,90,2.0,11,108,90,2.0,0.0024785591037747878,45,90,2.0,5,19
grid-32x32,1024,0.01,0.0001,0.0001,False,0,0,357293,5345,362638,0,362638,72634,2.0,0,362638,72634,2.0,nan,36317,72634,2.0,17,93198
grid-32x32,1024,0.01,0.0005,0.0005,False,0,0,162758,3122,165880,0,165880,25690,2.0,0,165880,25690,2.0,nan,12845,25690,2.0,16,43186
grid-32x32,1024,0.01,0.001,0.001,False,0,0,100837,1830,102667,0,102667,15608,2.0,0,102667,15608,2.0,nan,7804,15608,2.0,14,27096
grid-32x32,1024,0.01,0.002,0.002,False,0,0,58354,1261,59615,0,59615,7584,2.0,0,59615,7584,2.0,nan,3792,7584,2.0,13,15923
grid-32x32,1024,0.01,0.005,0.005,False,0,0,20166,638,20804,0,20804,2518,2.0,0,20804,2518,2.0,nan,1259,2518,2.0,11,5714
grid-32x32,1024,0.04,0.0001,0.0001,False,0,0,41785,1692,43477,0,43477,9962,2.0,0,43477,9962,2.0,nan,4981,9962,2.0,13,11175
grid-32x32,1024,0.04,0.0005,0.0005,False,0,0,23386,1080,24466,0,24466,4254,2.0,0,24466,4254,2.0,nan,2127,4254,2.0,12,6385
grid-32x32,1024,0.04,0.001,0.001,False,0,0,17327,781,18108,0,18108,2982,2.0,0,18108,2982,2.0,nan,1491,2982,2.0,11,4791
grid-32x32,1024,0.04,0.002,0.002,False,0,0,10858,670,11528,0,11528,1760,2.0,0,11528,1760,2.0,nan,880,1760,2.0,11,3069
grid-32x32,1024,0.04,0.005,0.005,False,0,0,5594,379,5973,0,5973,806,2.0,0,5973,806,2.0,nan,403,806,2.0,9,1630
grid-32x32,1024,0.16,0.0001,0.0001,False,0,0,4484,637,5121,0,5121,1174,2.0,0,5121,1174,2.0,nan,587,1174,2.0,10,1251
grid-32x32,1024,0.16,0.0005,0.0005,False,0,0,2722,347,3069,0,3069,624,2.0,0,3069,624,2.0,nan,312,624,2.0,8,782
grid-32x32,1024,0.16,0.001,0.001,False,0,0,2125,315,2440,0,2440,404,2.0,0,2440,404,2.0,nan,202,404,2.0,8,620
grid-32x32,1024,0.16,0.002,0.002,False,0,0,1528,235,1763,0,1763,292,2.0,0,1763,292,2.0,nan,146,292,2.0,7,463
grid-32x32,1024,0.16,0.005,0.005,False,0,0,904,141,1045,0,1045,192,2.0,0,1045,192,2.0,nan,96,192,2.0,5,286
