family,vertices,alpha,epsilon,leakage_fraction,cap,succeeded,checkpoint_count,envelope_volume,priority_work,priority_pushes,gate_work,scratch_iterations,scratch_work,total_work,direct_appr_work,direct_priority_work,ratio_to_best_direct,semantic_error
star-96,96,0.16,0.01,0.5,200,False,1,0,95,1,1,0,0,96,95,95,1.0105263157894737,0.004421052631578968
star-96,96,0.16,0.01,0.75,200,False,1,0,95,1,1,0,0,96,95,95,1.0105263157894737,0.004421052631578968
star-96,96,0.16,0.01,0.9,200,True,1,95,95,1,1,0,0,96,95,95,1.0105263157894737,0.004421052631578968
star-96,96,0.16,0.01,0.99,200,True,1,95,95,1,1,0,0,96,95,95,1.0105263157894737,0.004421052631578968
star-96,96,0.16,0.02,0.5,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725
star-96,96,0.16,0.02,0.75,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725
star-96,96,0.16,0.02,0.9,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725
star-96,96,0.16,0.02,0.99,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.006105263157894725
binary-depth-7,255,0.01,0.005,0.5,400,False,6,0,400,137,6,0,0,406,582,400,1.015,0.00201245012485762
binary-depth-7,255,0.01,0.005,0.75,400,False,6,0,400,137,6,0,0,406,582,400,1.015,0.00201245012485762
binary-depth-7,255,0.01,0.005,0.9,400,False,6,0,400,137,6,0,0,406,582,400,1.015,0.00201245012485762
binary-depth-7,255,0.01,0.005,0.99,400,False,6,0,400,137,6,0,0,406,582,400,1.015,0.00201245012485762
binary-depth-7,255,0.01,0.01,0.5,200,False,5,0,226,78,5,0,0,231,274,226,1.0221238938053097,0.0024967969323842405
binary-depth-7,255,0.01,0.01,0.75,200,False,5,0,226,78,5,0,0,231,274,226,1.0221238938053097,0.0024967969323842405
binary-depth-7,255,0.01,0.01,0.9,200,False,5,0,226,78,5,0,0,231,274,226,1.0221238938053097,0.0024967969323842405
binary-depth-7,255,0.01,0.01,0.99,200,False,5,0,226,78,5,0,0,231,274,226,1.0221238938053097,0.0024967969323842405
binary-depth-7,255,0.01,0.02,0.5,100,False,4,0,102,36,4,0,0,106,94,102,1.127659574468085,0.003114432574457459
binary-depth-7,255,0.01,0.02,0.75,100,False,4,0,102,36,4,0,0,106,94,102,1.127659574468085,0.003114432574457459
binary-depth-7,255,0.01,0.02,0.9,100,False,4,0,102,36,4,0,0,106,94,102,1.127659574468085,0.003114432574457459
binary-depth-7,255,0.01,0.02,0.99,100,False,4,0,102,36,4,0,0,106,94,102,1.127659574468085,0.003114432574457459
binary-depth-7,255,0.04,0.005,0.5,400,False,5,0,252,87,5,0,0,257,210,252,1.223809523809524,0.001844209551627928
binary-depth-7,255,0.04,0.005,0.75,400,False,5,0,252,87,5,0,0,257,210,252,1.223809523809524,0.001844209551627928
binary-depth-7,255,0.04,0.005,0.9,400,False,5,0,252,87,5,0,0,257,210,252,1.223809523809524,0.001844209551627928
binary-depth-7,255,0.04,0.005,0.99,400,False,5,0,252,87,5,0,0,257,210,252,1.223809523809524,0.001844209551627928
binary-depth-7,255,0.04,0.01,0.5,200,False,4,0,114,40,4,0,0,118,138,114,1.0350877192982457,0.0035165607593814437
binary-depth-7,255,0.04,0.01,0.75,200,False,4,0,114,40,4,0,0,118,138,114,1.0350877192982457,0.0035165607593814437
binary-depth-7,255,0.04,0.01,0.9,200,False,4,0,114,40,4,0,0,118,138,114,1.0350877192982457,0.0035165607593814437
binary-depth-7,255,0.04,0.01,0.99,200,False,4,0,114,40,4,0,0,118,138,114,1.0350877192982457,0.0035165607593814437
binary-depth-7,255,0.04,0.02,0.5,100,False,4,0,88,31,4,0,0,92,94,88,1.0454545454545454,0.0046361022684315405
binary-depth-7,255,0.04,0.02,0.75,100,False,4,0,88,31,4,0,0,92,94,88,1.0454545454545454,0.0046361022684315405
binary-depth-7,255,0.04,0.02,0.9,100,False,4,0,88,31,4,0,0,92,94,88,1.0454545454545454,0.0046361022684315405
binary-depth-7,255,0.04,0.02,0.99,100,False,4,0,88,31,4,0,0,92,94,88,1.0454545454545454,0.0046361022684315405
binary-depth-7,255,0.16,0.005,0.5,400,False,4,0,92,32,4,0,0,96,74,92,1.2972972972972974,0.0017358608226687906
binary-depth-7,255,0.16,0.005,0.75,400,False,4,0,92,32,4,0,0,96,74,92,1.2972972972972974,0.0017358608226687906
binary-depth-7,255,0.16,0.005,0.9,400,False,4,0,92,32,4,0,0,96,74,92,1.2972972972972974,0.0017358608226687906
binary-depth-7,255,0.16,0.005,0.99,400,False,4,0,92,32,4,0,0,96,74,92,1.2972972972972974,0.0017358608226687906
binary-depth-7,255,0.16,0.01,0.5,200,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.01,0.75,200,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.01,0.9,200,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.01,0.99,200,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.02,0.5,100,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.02,0.75,100,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.02,0.9,100,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
binary-depth-7,255,0.16,0.02,0.99,100,False,3,0,30,11,3,0,0,33,30,30,1.1,0.005415699882154988
broom-48-47,96,0.01,0.005,0.5,400,False,5,0,1162,613,5,0,0,1167,1303,1162,1.004302925989673,0.0037395574880774
broom-48-47,96,0.01,0.005,0.75,400,False,5,0,1162,613,5,0,0,1167,1303,1162,1.004302925989673,0.0037395574880774
broom-48-47,96,0.01,0.005,0.9,400,False,5,0,1162,613,5,0,0,1167,1303,1162,1.004302925989673,0.0037395574880774
broom-48-47,96,0.01,0.005,0.99,400,False,5,0,1162,613,5,0,0,1167,1303,1162,1.004302925989673,0.0037395574880774
broom-48-47,96,0.01,0.01,0.5,200,False,5,0,745,397,5,0,0,750,966,745,1.0067114093959733,0.0068883340209588174
broom-48-47,96,0.01,0.01,0.75,200,False,5,0,745,397,5,0,0,750,966,745,1.0067114093959733,0.0068883340209588174
broom-48-47,96,0.01,0.01,0.9,200,False,5,0,745,397,5,0,0,750,966,745,1.0067114093959733,0.0068883340209588174
