family,vertices,alpha,epsilon,rho,exact_lane_wins,rounds,support_nodes,support_volume,active_lane_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,direct_work,raced_total_work,ratio,batch_word
star-1024,1024,0.01,0.001,0.001,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0004936461388071346,0,0,0.0,
star-1024,1024,0.01,0.002,0.002,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0004936461388071346,0,0,0.0,
star-1024,1024,0.01,0.005,0.005,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0004936461388071346,0,0,0.0,
star-1024,1024,0.04,0.0001,0.0001,True,2,1024,2046,5115,4092,9207,18414,0.6206896551724138,2047,7162,14324,0.48282603566252064,5.421010862427522e-20,29667,10230,0.3448275862068966,1023
star-1024,1024,0.04,0.0005,0.0005,True,1,1,1023,1023,1023,2046,4092,0.4444444444444444,1,1024,2048,0.22243944824589987,0.0004692082111436332,9207,2046,0.2222222222222222,
star-1024,1024,0.04,0.001,0.001,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005083088954056028,0,0,0.0,
star-1024,1024,0.04,0.002,0.002,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005083088954056028,0,0,0.0,
star-1024,1024,0.04,0.005,0.005,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005083088954056028,0,0,0.0,
star-1024,1024,0.16,0.0001,0.0001,True,2,1024,2046,5115,4092,9207,16368,2.0,2047,7162,14324,1.7502443792766373,1.0847319561342647e-19,8184,10230,1.25,1023
star-1024,1024,0.16,0.0005,0.0005,True,1,1,1023,1023,1023,2046,4092,1.3333333333333333,1,1024,2048,0.6673183447376996,0.00041055718475074897,3069,2046,0.6666666666666666,
star-1024,1024,0.16,0.001,0.001,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005669599217986533,0,0,0.0,
star-1024,1024,0.16,0.002,0.002,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005669599217986533,0,0,0.0,
star-1024,1024,0.16,0.005,0.005,False,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005669599217986533,0,0,0.0,
binary-depth-10,2047,0.01,0.0001,0.0001,True,11,2047,4092,18334,8184,26518,53036,0.41081332300542217,4093,22427,44854,0.347436096049574,2.4532694666933983e-18,129100,36668,0.2840278853601859,"2,4,8,16,32,64,128,256,512,1024"
binary-depth-10,2047,0.01,0.0005,0.0005,True,8,255,764,2486,1272,3758,7516,1.799808429118774,509,2995,5990,1.4343869731800767,0.0001814601250417409,4176,4972,1.1906130268199233,"2,4,8,16,32,64,128"
binary-depth-10,2047,0.01,0.001,0.001,True,7,127,380,1214,632,1846,3692,1.4558359621451105,253,1467,2934,1.1569400630914826,0.0002255134388188047,2536,2428,0.9574132492113565,"2,4,8,16,32,64"
binary-depth-10,2047,0.01,0.002,0.002,True,7,127,380,1214,632,1846,2556,2.0,253,1467,2556,2.0,0.0002255134388188047,1278,2428,1.8998435054773084,"2,4,8,16,32,64"
binary-depth-10,2047,0.01,0.005,0.005,True,5,31,92,270,152,422,800,2.0,61,331,662,1.655,0.0005506713738429986,400,540,1.35,"2,4,8,16"
binary-depth-10,2047,0.04,0.0001,0.0001,True,9,511,1532,5038,2552,7590,13556,2.0,1021,6059,12118,1.7878430215402774,5.908775279850249e-05,6778,10076,1.486574210681617,"2,4,8,16,32,64,128,256"
binary-depth-10,2047,0.04,0.0005,0.0005,True,7,127,380,1214,632,1846,3692,1.6766575840145324,253,1467,2934,1.332425068119891,0.0001514123665461627,2202,2428,1.1026339691189828,"2,4,8,16,32,64"
binary-depth-10,2047,0.04,0.001,0.001,False,7,127,380,1214,632,1846,2320,2.0,253,1467,2320,2.0,0.0001514123665461627,1160,2320,2.0,"2,4,8,16,32,64"
binary-depth-10,2047,0.04,0.002,0.002,False,6,63,188,582,312,894,1152,2.0,125,707,1152,2.0,0.0003261899622638487,576,1152,2.0,"2,4,8,16,32"
binary-depth-10,2047,0.04,0.005,0.005,False,5,31,92,270,152,422,504,2.0,61,331,504,2.0,0.0007572926442651828,252,504,2.0,"2,4,8,16"
binary-depth-10,2047,0.16,0.0001,0.0001,False,7,127,380,1214,632,1846,1848,2.0,253,1467,1848,2.0,2.294112259852799e-05,924,1848,2.0,"2,4,8,16,32,64"
binary-depth-10,2047,0.16,0.0005,0.0005,False,6,63,188,582,312,894,772,2.0,125,707,772,2.0,8.154950294898201e-05,386,772,2.0,"2,4,8,16,32"
binary-depth-10,2047,0.16,0.001,0.001,False,5,31,92,270,152,422,372,2.0,61,331,372,2.0,0.0002919656955915838,186,372,2.0,"2,4,8,16"
binary-depth-10,2047,0.16,0.002,0.002,True,4,15,44,118,72,190,368,2.0,29,147,294,1.5978260869565217,0.0010464731615528833,184,236,1.2826086956521738,"2,4,8"
binary-depth-10,2047,0.16,0.005,0.005,False,4,15,44,118,72,190,184,2.0,29,147,184,2.0,0.0010464731615528833,92,184,2.0,"2,4,8"
broom-512-511,1024,0.01,0.0001,0.0001,True,38,38,75,2850,149,2999,5998,0.9502534854245881,75,2925,5850,0.9268060836501901,4.878578782793845e-05,6312,5700,0.903041825095057,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.01,0.0005,0.0005,True,30,30,59,1770,117,1887,3774,1.1103265666372462,59,1829,3658,1.0761988820241248,0.0002429375953513464,3399,3540,1.0414827890556047,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.01,0.001,0.001,True,26,26,51,1326,101,1427,2854,1.073739653875094,51,1377,2754,1.036117381489842,0.0005421200020635672,2658,2652,0.9977426636568849,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.01,0.002,0.002,True,23,23,45,1035,89,1124,2248,1.2565679150363331,45,1080,2160,1.2073784237003913,0.000989796601847199,1789,2070,1.1570709893795417,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.01,0.005,0.005,True,18,18,35,630,69,699,1398,1.2030981067125646,35,665,1330,1.144578313253012,0.00269958394763829,1162,1260,1.0843373493975903,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.04,0.0001,0.0001,True,21,21,41,861,81,942,1884,1.9126903553299492,41,902,1804,1.831472081218274,4.009715464289552e-05,985,1722,1.7482233502538072,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.04,0.0005,0.0005,True,17,17,33,561,65,626,1252,1.9841521394611727,33,594,1188,1.8827258320126783,0.00020299184537965863,631,1122,1.7781299524564185,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.04,0.001,0.001,True,15,15,29,435,57,492,984,1.9408284023668638,29,464,928,1.8303747534516766,0.0004567316521042321,507,870,1.7159763313609468,"1,1,1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.04,0.002,0.002,True,13,13,25,325,49,374,688,2.0,25,350,688,2.0,0.0010276462172345224,344,650,1.8895348837209303,"1,1,1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.04,0.005,0.005,True,11,11,21,231,41,272,504,2.0,21,252,504,2.0,0.002312203988777676,252,462,1.8333333333333333,"1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.16,0.0001,0.0001,False,11,11,21,231,41,272,296,2.0,21,252,296,2.0,3.583565551361181e-05,148,296,2.0,"1,1,1,1,1,1,1,1,1,1"
broom-512-511,1024,0.16,0.0005,0.0005,False,9,9,17,153,33,186,196,2.0,17,170,196,2.0,0.00019510523557410872,98,196,2.0,"1,1,1,1,1,1,1,1"
broom-512-511,1024,0.16,0.001,0.001,False,8,8,15,120,29,149,162,2.0,15,135,162,2.0,0.0004552455496729203,81,162,2.0,"1,1,1,1,1,1,1"
broom-512-511,1024,0.16,0.002,0.002,False,7,7,13,91,25,116,120,2.0,13,104,120,2.0,0.0010622396159034808,60,120,2.0,"1,1,1,1,1,1"
broom-512-511,1024,0.16,0.005,0.005,False,6,6,11,66,21,87,90,2.0,11,77,90,2.0,0.0024785591037747878,45,90,2.0,"1,1,1,1,1"
grid-32x32,1024,0.01,0.0001,0.0001,False,3,0,0,52,0,52,104,0.0028636726601866894,0,52,104,0.0028636726601866894,nan,36317,72634,2.0,"2,3,4"
grid-32x32,1024,0.01,0.0005,0.0005,False,3,0,0,52,0,52,104,0.008096535616971585,0,52,104,0.008096535616971585,nan,12845,25690,2.0,"2,3,4"
grid-32x32,1024,0.01,0.001,0.001,False,3,0,0,52,0,52,104,0.013326499231163505,0,52,104,0.013326499231163505,nan,7804,15608,2.0,"2,3,4"
grid-32x32,1024,0.01,0.002,0.002,False,3,0,0,52,0,52,104,0.027426160337552744,0,52,104,0.027426160337552744,nan,3792,7584,2.0,"2,3,4"
grid-32x32,1024,0.01,0.005,0.005,False,3,0,0,52,0,52,104,0.08260524225575853,0,52,104,0.08260524225575853,nan,1259,2518,2.0,"2,3,4"
grid-32x32,1024,0.04,0.0001,0.0001,False,3,0,0,52,0,52,104,0.020879341497691228,0,52,104,0.020879341497691228,nan,4981,9962,2.0,"2,3,4"
grid-32x32,1024,0.04,0.0005,0.0005,False,3,0,0,52,0,52,104,0.048895157498824636,0,52,104,0.048895157498824636,nan,2127,4254,2.0,"2,3,4"
grid-32x32,1024,0.04,0.001,0.001,False,3,0,0,52,0,52,104,0.06975184439973173,0,52,104,0.06975184439973173,nan,1491,2982,2.0,"2,3,4"
grid-32x32,1024,0.04,0.002,0.002,False,3,0,0,52,0,52,104,0.11818181818181818,0,52,104,0.11818181818181818,nan,880,1760,2.0,"2,3,4"
grid-32x32,1024,0.04,0.005,0.005,False,3,0,0,52,0,52,104,0.25806451612903225,0,52,104,0.25806451612903225,nan,403,806,2.0,"2,3,4"
grid-32x32,1024,0.16,0.0001,0.0001,False,3,0,0,52,0,52,104,0.17717206132879046,0,52,104,0.17717206132879046,nan,587,1174,2.0,"2,3,4"
grid-32x32,1024,0.16,0.0005,0.0005,False,3,0,0,52,0,52,104,0.3333333333333333,0,52,104,0.3333333333333333,nan,312,624,2.0,"2,3,4"
grid-32x32,1024,0.16,0.001,0.001,False,3,0,0,52,0,52,104,0.5148514851485149,0,52,104,0.5148514851485149,nan,202,404,2.0,"2,3,4"
grid-32x32,1024,0.16,0.002,0.002,False,3,0,0,52,0,52,104,0.7123287671232876,0,52,104,0.7123287671232876,nan,146,292,2.0,"2,3,4"
grid-32x32,1024,0.16,0.005,0.005,False,3,0,0,52,0,52,104,1.0833333333333333,0,52,104,1.0833333333333333,nan,96,192,2.0,"2,3,4"
